1000;46706700;15611
1100;40871900;33037
1201;57998500;52425
1301;61236500;73558
1401;66553700;96644
1501;70900700;121683
1601;80296400;148412
1701;110432400;177175
1801;133619900;207921
1901;127072400;240612
2001;151851400;275263
2101;190453400;311811
2201;191028300;350104
2301;229973600;390631
2401;232810100;432993
2501;210786800;477348
2601;239510200;523703
2701;240344600;572113
2801;261286200;622493
2901;282604000;674802
3001;298693500;729325
3101;316686300;785838
3201;357707200;844497
3301;377404700;905296
3401;394828700;967828
3501;435168600;1032547
3601;467444100;1099285
3701;469238400;1168007
3801;498104600;1238833
3901;534228100;1312196
4001;558761200;1387547
4101;609469500;1465097
4201;620527700;1544281
4301;661431400;1625741
4401;668251800;1709226
4501;707897900;1794965
4601;735697700;1882767
4700;779990800;1972551
4800;831564000;2064799
4900;868801100;2159127
5000;888891600;2255420
5100;953633500;2354369
5200;962571800;2454735
5300;1025095300;2557530
5400;1051793300;2662433
5500;1092665100;2769657
5600;1138432200;2878842
5700;1176257800;2990480
5800;1229864900;3104111
5900;1270860000;3220216
6000;1325532900;3338546
6100;1339214700;3458559
6200;1400408400;3581069
6300;1492618700;3705516
6400;1508027500;3832332
6500;1534387200;3961365
6600;1610864000;4092188
6700;1638162300;4225699
6800;1706155700;4361073
6900;1746713200;4498598
7000;1807551500;4638812
7100;1869906200;4780888
7200;1910425000;4924920
7300;1988579500;5071779
7400;2047656000;5220519
7500;2078672400;5371477
7600;2169978400;5524488
7700;2214598200;5680111
7800;2294804800;5837912
7900;2333658000;5998091
8000;2421385900;6160323
8100;2521594100;6324659
8200;2676442500;6491348
8300;2819354500;6660225
8400;2737625800;6831451
8500;2800672300;7005372
8600;2817133000;7181183
8700;2944795500;7359520
8800;2922095000;7539766
8900;3020887000;7722141
9000;3108564400;7906672
9100;3182596900;8093840
9200;3278767900;8282930
9300;3354475300;8474401
9400;3383362500;8668200
9500;3531789300;8864563
9600;3626282600;9063594
9700;3738386100;9264060
9800;3792592500;9467133
9900;3893603300;9672347
10000;3983516700;9880166
