1000;20266200;15611
1100;801500;33037
1201;805900;52425
1301;884200;73558
1401;954400;96644
1501;1073500;121683
1601;1087200;148412
1701;1174400;177175
1801;1238800;207921
1901;1603000;240612
2001;1078200;275263
2101;995300;311811
2201;1078200;350104
2301;1099200;390631
2401;1140200;432993
2501;1204600;477348
2601;1337900;523703
2701;1114800;572113
2801;588500;622493
2901;768800;674802
3001;740400;729325
3101;756500;785838
3201;792000;844497
3301;841400;905296
3401;626400;967828
3501;671200;1032547
3601;960400;1099285
3701;986900;1168007
3801;923300;1238833
3901;874100;1312196
4001;801300;1387547
4101;809100;1465097
4201;1077500;1544281
4301;884900;1625741
4401;874300;1709226
4501;896200;1794965
4601;920900;1882767
4700;941600;1972551
4800;958800;2064799
4900;989500;2159127
5000;1018100;2255420
5100;1030500;2354369
5200;1430900;2454735
5300;1377100;2557530
5400;1398900;2662433
5500;1396200;2769657
5600;1833800;2878842
5700;1940300;2990480
5800;1875600;3104111
5900;1958500;3220216
6000;1544400;3338546
6100;1341000;3458559
6200;1326600;3581069
6300;1344500;3705516
6400;1367200;3832332
6500;1380400;3961365
6600;1396300;4092188
6700;1419800;4225699
6800;1438800;4361073
6900;1885100;4498598
7000;1831000;4638812
7100;1585200;4780888
7200;1440600;4924920
7300;1657200;5071779
7400;1490200;5220519
7500;1661600;5371477
7600;1506400;5524488
7700;1724000;5680111
7800;2505000;5837912
7900;2345600;5998091
8000;1805000;6160323
8100;1739500;6324659
8200;1767400;6491348
8300;1807100;6660225
8400;2362000;6831451
8500;1964000;7005372
8600;1916700;7181183
8700;1979000;7359520
8800;2757600;7539766
8900;2801700;7722141
9000;1976200;7906672
9100;1864500;8093840
9200;1867100;8282930
9300;1889100;8474401
9400;1945900;8668200
9500;1922000;8864563
9600;1932500;9063594
9700;2186400;9264060
9800;2438600;9467133
9900;2173000;9672347
10000;2062100;9880166
